path,class,machine,endian,soname,needed,sha256,size
lib/libaf_tune.so,ELF32,ARM,little,libaf_tune.so,libAF.so;libc.so;libdl.so;libm.so;libstdc++.so,4c17c610b6a9ceb9dca24910e7f67146309f7764c70df73c2dc615239cce4981,44812
lib/libAl_Awb_v2.so,ELF32,ARM,little,libAl_Awb_v2.so,libc.so;libdl.so;liblog.so;libm.so;libstdc++.so;libz.so,eaab0eaa31477a59ce2b2eb787cec19236550ea40ee31e1f9111fbc647bece58,281444
lib/libatchannel.so,ELF32,ARM,little,libatchannel.so,libbinder.so;libc.so;libcutils.so;libm.so;libsecril-client.so;libstdc++.so;libutils.so,035446d5d3cb6f9e48b2428337bac7ce68f41cd64716669ac5e709880a279fe1,13528
lib/libaudio-ril.so,ELF32,ARM,little,libaudio-ril.so,libc.so;libcutils.so;liblog.so;libm.so;libsecril-client.so;libstdc++.so;libutils.so,ed32407f7504c25d42bf356cf396972b9f6bd1c047651a6af88a0e4e0e65ef65,17572
lib/libawb.so,ELF32,ARM,little,libawb.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so;libutils.so,e4de186bb248ed8352f9aad801df9ad1ac1e7ffd106412be22f35a0dfe7afbdf,46364
lib/libbm.so,ELF32,ARM,little,libbm.so,libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so,285a369446441797218d9921d1eaedaafdbc23eaca2ef6c9dac7442040575a6b,5232
lib/libbt-aptx-4.0.3.so,ELF32,ARM,little,libbt-aptx-4.0.3.so,libc.so;libm.so;libstdc++.so,217b86ded5caf6fddef5e24c6e20975b80546cab92ec701bbccb173889ea45fc,20564
lib/libbt-codec_aptx.so,ELF32,ARM,little,libbt-codec_aptx.so,libbt-aptx-4.0.3.so;libc.so;libcutils.so;liblog.so;libm.so;libstdc++.so,b7a94df8c265a2dd91961ab2859f3af068dc9fe13a7acc3b120acd31a382461b,5340
lib/libbt-codec_sshd.so,ELF32,ARM,little,libbt-codec_sshd.so,libc.so;libcutils.so;libm.so;libstdc++.so,5ad95badaf46cc76b0df67f8b7ee1b299568b6d6ae16e929099f35558952d728,178952
lib/libbt-iopdb.so,ELF32,ARM,little,libbt-iopdb.so,libbt-iopdb_mod.so;libc.so;libcutils.so;libm.so;libstdc++.so,375e7b6884f07a7cab18bc7f09a855db549c5f9d2e406fafd8d4f59de73504f2,5136
